sample	path	BTau_norm	TTau_norm	BTau	TTau	totalCounts	name
1195_TCX		0.7482846544295828	361.53234507532994	81	39135	108247576	1195_TCX.snap.bam
11402_TCX		0.20430128355686414	371.0413977960886	27	49036	132157760	11402_TCX.snap.bam
11431_TCX		0.44756269454728637	267.8662726865509	64	38304	142996726	11431_TCX.snap.bam
11279_TCX		0.4499905783222664	381.2920166984004	48	40672	106668900	11279_TCX.snap.bam
1203_TCX		0.226305517330129	379.05365918806143	28	46899	123726546	1203_TCX.snap.bam
11316_TCX		0.42969120122972865	216.21695551240603	47	23650	109380876	11316_TCX.snap.bam
1926_TCX		0.561932670274336	291.1581002802258	73	37824	129908802	1926_TCX.snap.bam
7000_TCX		0.565414091990775	302.29167903680707	69	36890	122034454	7000_TCX.snap.bam
11305_TCX		1.3937842543975567	439.3045060013182	154	48539	110490558	11305_TCX.snap.bam
11330_TCX		0.39396488476075703	305.1586336542697	48	37180	121838270	11330_TCX.snap.bam
1963_TCX		0.23111445888108617	406.8816271493298	25	44013	108171510	1963_TCX.snap.bam
11423		0.5885078540296506	147.20543122128325	60	15008	101952760	11423.snap.bam
6872_TCX		1.025599022328281	401.07110732653285	116	45363	113104632	6872_TCX.snap.bam
1959_TCX		0.20479095023578045	99.565636532814	22	10696	107426622	1959_TCX.snap.bam
1114_TCX		0.7464831882083687	270.2269141314295	98	35476	131282260	1114_TCX.snap.bam
1923_TCX		0.9881719056905982	294.61896199117143	110	32796	111316664	1923_TCX.snap.bam
1931_TCX		0.21781531364876186	203.05365867805148	35	32628	160686590	1931_TCX.snap.bam
11397_TCX		0.3982746741117479	266.5595497447913	49	32795	123030670	11397_TCX.snap.bam
1137_TCX		0.49734137876955753	402.4838720479888	48	38845	96513184	1137_TCX.snap.bam
11255_TCX		0.5734090781990341	299.8592179523184	68	35560	118588984	11255_TCX.snap.bam
11486_TCX		0.5528036420969088	283.6759079975101	82	42079	148334768	11486_TCX.snap.bam
11498_TCX		0.41201795432434113	445.908826520741	43	46537	104364384	11498_TCX.snap.bam
